requestParameters,userAgent,awsRegion,eventType,@version,userIdentity,recipientAccountId,responseElements,eventName,sourceIPAddress,eventSource,requestID,@timestamp,eventID,eventVersion,apiVersion,readOnly,sharedEventID,resources,eventCategory,additionalEventData,managementEvent
"{'prefix': '', 'encoding-type': 'url', 'Host': 'mordors3stack-s3bucket-llp2yingx64a.s3.amazonaws.com', 'list-type': '2', 'bucketName': 'mordors3stack-s3bucket-llp2yingx64a'}",[aws-cli/1.18.136 Python/3.8.5 Darwin/19.5.0 botocore/1.17.59],us-east-1,AwsApiCall,1,"{'arn': 'arn:aws:sts::123456789123:assumed-role/MordorNginxStack-BankingWAFRole-9S3E0UAE1MM0/i-0317f6c6b66ae9c40', 'type': 'AssumedRole', 'sessionContext': {'sessionIssuer': {'arn': 'arn:aws:iam::123456789123:role/MordorNginxStack-BankingWAFRole-9S3E0UAE1MM0', 'userName': 'MordorNginxStack-BankingWAFRole-9S3E0UAE1MM0', 'accountId': '123456789123', 'principalId': 'AROA5FLZVX4OAMSW6BCRH', 'type': 'Role'}, 'attributes': {'mfaAuthenticated': 'false', 'creationDate': '2020-09-14T00:48:30Z'}, 'ec2RoleDelivery': '1.0'}, 'accountId': '123456789123', 'principalId': 'AROA5FLZVX4OAMSW6BCRH:i-0317f6c6b66ae9c40', 'accessKeyId': 'ASIA5FLZVX4OPVKKVBMX'}",123456789123,,ListObjects,1.2.3.4,s3.amazonaws.com,9E67F4B1EA896060,2020-09-14T01:00:33.000Z,bf575a0c-c344-4302-a468-00e6a84a127a,1.07,,1.0,,"[{'ARNPrefix': 'arn:aws:s3:::mordors3stack-s3bucket-llp2yingx64a/', 'type': 'AWS::S3::Object'}, {'ARN': 'arn:aws:s3:::mordors3stack-s3bucket-llp2yingx64a', 'accountId': '123456789123', 'type': 'AWS::S3::Bucket'}]",Data,"{'bytesTransferredOut': 500.0, 'AuthenticationMethod': 'AuthHeader', 'CipherSuite': 'ECDHE-RSA-AES128-GCM-SHA256', 'SignatureVersion': 'SigV4', 'bytesTransferredIn': 0.0, 'x-amz-id-2': 'CwG1p2GevuppO1cfaaU0oSCg6Bd6Hwc3Rf/ySaU2HejdK532VxwbHA6PUvtvWIkQmJkoyA3LCJg='}",0.0
"{'prefix': '', 'encoding-type': 'url', 'Host': 'mordors3stack-s3bucket-llp2yingx64a.s3.amazonaws.com', 'list-type': '2', 'bucketName': 'mordors3stack-s3bucket-llp2yingx64a'}",[aws-cli/1.18.136 Python/3.8.5 Darwin/19.5.0 botocore/1.17.59],us-east-1,AwsApiCall,1,"{'arn': 'arn:aws:sts::123456789123:assumed-role/MordorNginxStack-BankingWAFRole-9S3E0UAE1MM0/i-0317f6c6b66ae9c40', 'type': 'AssumedRole', 'sessionContext': {'sessionIssuer': {'arn': 'arn:aws:iam::123456789123:role/MordorNginxStack-BankingWAFRole-9S3E0UAE1MM0', 'userName': 'MordorNginxStack-BankingWAFRole-9S3E0UAE1MM0', 'accountId': '123456789123', 'principalId': 'AROA5FLZVX4OAMSW6BCRH', 'type': 'Role'}, 'attributes': {'mfaAuthenticated': 'false', 'creationDate': '2020-09-14T00:48:30Z'}, 'ec2RoleDelivery': '1.0'}, 'accountId': '123456789123', 'principalId': 'AROA5FLZVX4OAMSW6BCRH:i-0317f6c6b66ae9c40', 'accessKeyId': 'ASIA5FLZVX4OPVKKVBMX'}",123456789123,,ListObjects,1.2.3.4,s3.amazonaws.com,934997152CA5202C,2020-09-14T01:00:53.000Z,5376677f-96d4-468a-9539-f0f7edbec349,1.07,,1.0,,"[{'ARNPrefix': 'arn:aws:s3:::mordors3stack-s3bucket-llp2yingx64a/', 'type': 'AWS::S3::Object'}, {'ARN': 'arn:aws:s3:::mordors3stack-s3bucket-llp2yingx64a', 'accountId': '123456789123', 'type': 'AWS::S3::Bucket'}]",Data,"{'bytesTransferredOut': 500.0, 'AuthenticationMethod': 'AuthHeader', 'CipherSuite': 'ECDHE-RSA-AES128-GCM-SHA256', 'SignatureVersion': 'SigV4', 'bytesTransferredIn': 0.0, 'x-amz-id-2': 'HH0SS5jMpPNnRz4M/ZeRnno7dZniL9yCxyZADc9YIaU781MvIPMGPYIAGDJIxYfUgFCR19PPHiw='}",0.0
"{'prefix': '', 'encoding-type': 'url', 'Host': 'mordors3stack-s3bucket-llp2yingx64a.s3.amazonaws.com', 'list-type': '2', 'bucketName': 'mordors3stack-s3bucket-llp2yingx64a'}",[aws-cli/1.18.136 Python/3.8.5 Darwin/19.5.0 botocore/1.17.59],us-east-1,AwsApiCall,1,"{'arn': 'arn:aws:sts::123456789123:assumed-role/MordorNginxStack-BankingWAFRole-9S3E0UAE1MM0/i-0317f6c6b66ae9c40', 'type': 'AssumedRole', 'sessionContext': {'sessionIssuer': {'arn': 'arn:aws:iam::123456789123:role/MordorNginxStack-BankingWAFRole-9S3E0UAE1MM0', 'userName': 'MordorNginxStack-BankingWAFRole-9S3E0UAE1MM0', 'accountId': '123456789123', 'principalId': 'AROA5FLZVX4OAMSW6BCRH', 'type': 'Role'}, 'attributes': {'mfaAuthenticated': 'false', 'creationDate': '2020-09-14T00:48:30Z'}, 'ec2RoleDelivery': '1.0'}, 'accountId': '123456789123', 'principalId': 'AROA5FLZVX4OAMSW6BCRH:i-0317f6c6b66ae9c40', 'accessKeyId': 'ASIA5FLZVX4OPVKKVBMX'}",123456789123,,ListObjects,1.2.3.4,s3.amazonaws.com,1239032C542D989E,2020-09-14T01:01:04.000Z,46937d3a-6d68-4ba2-9520-a2ecf06dca32,1.07,,1.0,,"[{'ARNPrefix': 'arn:aws:s3:::mordors3stack-s3bucket-llp2yingx64a/', 'type': 'AWS::S3::Object'}, {'ARN': 'arn:aws:s3:::mordors3stack-s3bucket-llp2yingx64a', 'accountId': '123456789123', 'type': 'AWS::S3::Bucket'}]",Data,"{'bytesTransferredOut': 500.0, 'AuthenticationMethod': 'AuthHeader', 'CipherSuite': 'ECDHE-RSA-AES128-GCM-SHA256', 'SignatureVersion': 'SigV4', 'bytesTransferredIn': 0.0, 'x-amz-id-2': 'h/t1vaORPhYSZ8lkMVvm7oiL/rw93qfZoM96mTDYvsFKTjnnreW34nq6MYW4EG90TWVqEMb7DhA='}",0.0
"{'key': 'ring.txt', 'Host': 'mordors3stack-s3bucket-llp2yingx64a.s3.amazonaws.com', 'bucketName': 'mordors3stack-s3bucket-llp2yingx64a'}",[aws-cli/1.18.136 Python/3.8.5 Darwin/19.5.0 botocore/1.17.59],us-east-1,AwsApiCall,1,"{'arn': 'arn:aws:sts::123456789123:assumed-role/MordorNginxStack-BankingWAFRole-9S3E0UAE1MM0/i-0317f6c6b66ae9c40', 'type': 'AssumedRole', 'sessionContext': {'sessionIssuer': {'arn': 'arn:aws:iam::123456789123:role/MordorNginxStack-BankingWAFRole-9S3E0UAE1MM0', 'userName': 'MordorNginxStack-BankingWAFRole-9S3E0UAE1MM0', 'accountId': '123456789123', 'principalId': 'AROA5FLZVX4OAMSW6BCRH', 'type': 'Role'}, 'attributes': {'mfaAuthenticated': 'false', 'creationDate': '2020-09-14T00:48:30Z'}, 'ec2RoleDelivery': '1.0'}, 'accountId': '123456789123', 'principalId': 'AROA5FLZVX4OAMSW6BCRH:i-0317f6c6b66ae9c40', 'accessKeyId': 'ASIA5FLZVX4OPVKKVBMX'}",123456789123,,GetObject,1.2.3.4,s3.amazonaws.com,A471D1060ED5FD07,2020-09-14T01:02:34.000Z,771299cb-e200-4926-9604-c85358b30499,1.07,,1.0,,"[{'ARN': 'arn:aws:s3:::mordors3stack-s3bucket-llp2yingx64a/ring.txt', 'type': 'AWS::S3::Object'}, {'ARN': 'arn:aws:s3:::mordors3stack-s3bucket-llp2yingx64a', 'accountId': '123456789123', 'type': 'AWS::S3::Bucket'}]",Data,"{'bytesTransferredOut': 89.0, 'AuthenticationMethod': 'AuthHeader', 'CipherSuite': 'ECDHE-RSA-AES128-GCM-SHA256', 'SignatureVersion': 'SigV4', 'bytesTransferredIn': 0.0, 'x-amz-id-2': 'gyAgfHKWBQDUmPzc6Za14YfKLUew1NZi81kJ1w95x6ibnEsBn7rpYrjnoTeUrjEGGMfXo7BgS70='}",0.0
"{'prefix': '', 'encoding-type': 'url', 'Host': 'mordors3stack-s3bucket-llp2yingx64a.s3.amazonaws.com', 'list-type': '2', 'bucketName': 'mordors3stack-s3bucket-llp2yingx64a'}",[aws-cli/1.18.136 Python/3.8.5 Darwin/19.5.0 botocore/1.17.59],us-east-1,AwsApiCall,1,"{'arn': 'arn:aws:sts::123456789123:assumed-role/MordorNginxStack-BankingWAFRole-9S3E0UAE1MM0/i-0317f6c6b66ae9c40', 'type': 'AssumedRole', 'sessionContext': {'sessionIssuer': {'arn': 'arn:aws:iam::123456789123:role/MordorNginxStack-BankingWAFRole-9S3E0UAE1MM0', 'userName': 'MordorNginxStack-BankingWAFRole-9S3E0UAE1MM0', 'accountId': '123456789123', 'principalId': 'AROA5FLZVX4OAMSW6BCRH', 'type': 'Role'}, 'attributes': {'mfaAuthenticated': 'false', 'creationDate': '2020-09-14T00:48:30Z'}, 'ec2RoleDelivery': '1.0'}, 'accountId': '123456789123', 'principalId': 'AROA5FLZVX4OAMSW6BCRH:i-0317f6c6b66ae9c40', 'accessKeyId': 'ASIA5FLZVX4OPVKKVBMX'}",123456789123,,ListObjects,1.2.3.4,s3.amazonaws.com,ABDBFE8B7EBB5BF1,2020-09-14T01:02:34.000Z,2308e1b4-ed27-49fc-b6e4-cc9a612c1c13,1.07,,1.0,,"[{'ARNPrefix': 'arn:aws:s3:::mordors3stack-s3bucket-llp2yingx64a/', 'type': 'AWS::S3::Object'}, {'ARN': 'arn:aws:s3:::mordors3stack-s3bucket-llp2yingx64a', 'accountId': '123456789123', 'type': 'AWS::S3::Bucket'}]",Data,"{'bytesTransferredOut': 500.0, 'AuthenticationMethod': 'AuthHeader', 'CipherSuite': 'ECDHE-RSA-AES128-GCM-SHA256', 'SignatureVersion': 'SigV4', 'bytesTransferredIn': 0.0, 'x-amz-id-2': '+Spw83MOPQclpxc+Z1971w0H8hsgUuebvNAUNm5GXznL6HLo2QSsZG1y/ko66W6/2KEQIYmfKJ8='}",0.0
{'Host': 's3.amazonaws.com'},[aws-cli/1.18.136 Python/3.8.5 Darwin/19.5.0 botocore/1.17.59],us-east-1,AwsApiCall,1,"{'arn': 'arn:aws:sts::123456789123:assumed-role/MordorNginxStack-BankingWAFRole-9S3E0UAE1MM0/i-0317f6c6b66ae9c40', 'type': 'AssumedRole', 'sessionContext': {'webIdFederationData': {}, 'sessionIssuer': {'arn': 'arn:aws:iam::123456789123:role/MordorNginxStack-BankingWAFRole-9S3E0UAE1MM0', 'userName': 'MordorNginxStack-BankingWAFRole-9S3E0UAE1MM0', 'accountId': '123456789123', 'principalId': 'AROA5FLZVX4OAMSW6BCRH', 'type': 'Role'}, 'attributes': {'mfaAuthenticated': 'false', 'creationDate': '2020-09-14T00:48:30Z'}, 'ec2RoleDelivery': '1.0'}, 'accountId': '123456789123', 'principalId': 'AROA5FLZVX4OAMSW6BCRH:i-0317f6c6b66ae9c40', 'accessKeyId': 'ASIA5FLZVX4OPVKKVBMX'}",123456789123,,ListBuckets,1.2.3.4,s3.amazonaws.com,1225044172D8D65D,2020-09-14T01:01:50.000Z,19d32cc1-edab-4b96-9a11-2cd7794b2527,1.05,,1.0,,,,"{'AuthenticationMethod': 'AuthHeader', 'CipherSuite': 'ECDHE-RSA-AES128-GCM-SHA256', 'SignatureVersion': 'SigV4', 'x-amz-id-2': 'kYiD7zKnS/MdFmNlhWneMJr7EOTZev+JvUOTM34Ho5YVRcTX4gg/C8hhd9hjHV65aB1Zw6GNB9U='}",
{'Host': 's3.amazonaws.com'},[aws-cli/1.18.136 Python/3.8.5 Darwin/19.5.0 botocore/1.17.59],us-east-1,AwsApiCall,1,"{'arn': 'arn:aws:sts::123456789123:assumed-role/MordorNginxStack-BankingWAFRole-9S3E0UAE1MM0/i-0317f6c6b66ae9c40', 'type': 'AssumedRole', 'sessionContext': {'webIdFederationData': {}, 'sessionIssuer': {'arn': 'arn:aws:iam::123456789123:role/MordorNginxStack-BankingWAFRole-9S3E0UAE1MM0', 'userName': 'MordorNginxStack-BankingWAFRole-9S3E0UAE1MM0', 'accountId': '123456789123', 'principalId': 'AROA5FLZVX4OAMSW6BCRH', 'type': 'Role'}, 'attributes': {'mfaAuthenticated': 'false', 'creationDate': '2020-09-14T00:48:30Z'}, 'ec2RoleDelivery': '1.0'}, 'accountId': '123456789123', 'principalId': 'AROA5FLZVX4OAMSW6BCRH:i-0317f6c6b66ae9c40', 'accessKeyId': 'ASIA5FLZVX4OPVKKVBMX'}",123456789123,,ListBuckets,1.2.3.4,s3.amazonaws.com,62026217F7380283,2020-09-14T01:00:04.000Z,7d91ac29-614a-4af9-af5c-c5a80e63a0bb,1.05,,1.0,,,,"{'AuthenticationMethod': 'AuthHeader', 'CipherSuite': 'ECDHE-RSA-AES128-GCM-SHA256', 'SignatureVersion': 'SigV4', 'x-amz-id-2': 'Z2RgjEqHTUqNHo0FXfsJ3VQJeWyQMbm6WyOoil5pe1IZBIcFiX7gXfDpy5hlYIJpSwfM/DOEuok='}",
"{'Host': 'mordors3stack-s3bucket-llp2yingx64a.s3.amazonaws.com', 'list-type': '2', 'prefix': '', 'encoding-type': 'url', 'delimiter': '/', 'bucketName': 'mordors3stack-s3bucket-llp2yingx64a'}",[aws-cli/1.18.136 Python/3.8.5 Darwin/19.5.0 botocore/1.17.59],us-east-1,AwsApiCall,1,"{'arn': 'arn:aws:sts::123456789123:assumed-role/MordorNginxStack-BankingWAFRole-9S3E0UAE1MM0/i-0317f6c6b66ae9c40', 'type': 'AssumedRole', 'sessionContext': {'sessionIssuer': {'arn': 'arn:aws:iam::123456789123:role/MordorNginxStack-BankingWAFRole-9S3E0UAE1MM0', 'userName': 'MordorNginxStack-BankingWAFRole-9S3E0UAE1MM0', 'accountId': '123456789123', 'principalId': 'AROA5FLZVX4OAMSW6BCRH', 'type': 'Role'}, 'attributes': {'mfaAuthenticated': 'false', 'creationDate': '2020-09-14T00:48:30Z'}, 'ec2RoleDelivery': '1.0'}, 'accountId': '123456789123', 'principalId': 'AROA5FLZVX4OAMSW6BCRH:i-0317f6c6b66ae9c40', 'accessKeyId': 'ASIA5FLZVX4OPVKKVBMX'}",123456789123,,ListObjects,1.2.3.4,s3.amazonaws.com,A2AD8267939B5AB2,2020-09-14T01:12:40.000Z,40266d7a-ea06-445b-875c-e17ea31b1bb4,1.07,,1.0,,"[{'ARNPrefix': 'arn:aws:s3:::mordors3stack-s3bucket-llp2yingx64a/', 'type': 'AWS::S3::Object'}, {'ARN': 'arn:aws:s3:::mordors3stack-s3bucket-llp2yingx64a', 'accountId': '123456789123', 'type': 'AWS::S3::Bucket'}]",Data,"{'bytesTransferredOut': 524.0, 'AuthenticationMethod': 'AuthHeader', 'CipherSuite': 'ECDHE-RSA-AES128-GCM-SHA256', 'SignatureVersion': 'SigV4', 'bytesTransferredIn': 0.0, 'x-amz-id-2': '4CQoleTomIld4HqR2P2pORmS7fLf2tZjt1ZGB8Sii4c+/3FPkTo+tReHYeV9D3CuAtneVgdeeoc='}",0.0
"{'Host': 'mordors3stack-s3bucket-llp2yingx64a.s3.amazonaws.com', 'list-type': '2', 'prefix': '', 'encoding-type': 'url', 'delimiter': '/', 'bucketName': 'mordors3stack-s3bucket-llp2yingx64a'}",[aws-cli/1.18.136 Python/3.8.5 Darwin/19.5.0 botocore/1.17.59],us-east-1,AwsApiCall,1,"{'arn': 'arn:aws:sts::123456789123:assumed-role/MordorNginxStack-BankingWAFRole-9S3E0UAE1MM0/i-0317f6c6b66ae9c40', 'type': 'AssumedRole', 'sessionContext': {'sessionIssuer': {'arn': 'arn:aws:iam::123456789123:role/MordorNginxStack-BankingWAFRole-9S3E0UAE1MM0', 'userName': 'MordorNginxStack-BankingWAFRole-9S3E0UAE1MM0', 'accountId': '123456789123', 'principalId': 'AROA5FLZVX4OAMSW6BCRH', 'type': 'Role'}, 'attributes': {'mfaAuthenticated': 'false', 'creationDate': '2020-09-14T00:48:30Z'}, 'ec2RoleDelivery': '1.0'}, 'accountId': '123456789123', 'principalId': 'AROA5FLZVX4OAMSW6BCRH:i-0317f6c6b66ae9c40', 'accessKeyId': 'ASIA5FLZVX4OPVKKVBMX'}",123456789123,,ListObjects,1.2.3.4,s3.amazonaws.com,03987019D300E223,2020-09-14T01:12:43.000Z,fddb4992-b7e8-4c4a-bce5-31fee5c25667,1.07,,1.0,,"[{'ARNPrefix': 'arn:aws:s3:::mordors3stack-s3bucket-llp2yingx64a/', 'type': 'AWS::S3::Object'}, {'ARN': 'arn:aws:s3:::mordors3stack-s3bucket-llp2yingx64a', 'accountId': '123456789123', 'type': 'AWS::S3::Bucket'}]",Data,"{'bytesTransferredOut': 524.0, 'AuthenticationMethod': 'AuthHeader', 'CipherSuite': 'ECDHE-RSA-AES128-GCM-SHA256', 'SignatureVersion': 'SigV4', 'bytesTransferredIn': 0.0, 'x-amz-id-2': 'URT7JtEDdDUExSySPThoJsZRT3/S2cd/Kes6JqKEbq2C7JAVfc4+raS5eiO1iFx522bNzdZgvSg='}",0.0
"{'prefix': '', 'encoding-type': 'url', 'Host': 'mordors3stack-s3bucket-llp2yingx64a.s3.amazonaws.com', 'list-type': '2', 'bucketName': 'mordors3stack-s3bucket-llp2yingx64a'}",[aws-cli/1.18.136 Python/3.8.5 Darwin/19.5.0 botocore/1.17.59],us-east-1,AwsApiCall,1,"{'arn': 'arn:aws:sts::123456789123:assumed-role/MordorNginxStack-BankingWAFRole-9S3E0UAE1MM0/i-0317f6c6b66ae9c40', 'type': 'AssumedRole', 'sessionContext': {'sessionIssuer': {'arn': 'arn:aws:iam::123456789123:role/MordorNginxStack-BankingWAFRole-9S3E0UAE1MM0', 'userName': 'MordorNginxStack-BankingWAFRole-9S3E0UAE1MM0', 'accountId': '123456789123', 'principalId': 'AROA5FLZVX4OAMSW6BCRH', 'type': 'Role'}, 'attributes': {'mfaAuthenticated': 'false', 'creationDate': '2020-09-14T00:48:30Z'}, 'ec2RoleDelivery': '1.0'}, 'accountId': '123456789123', 'principalId': 'AROA5FLZVX4OAMSW6BCRH:i-0317f6c6b66ae9c40', 'accessKeyId': 'ASIA5FLZVX4OPVKKVBMX'}",123456789123,,ListObjects,1.2.3.4,s3.amazonaws.com,8F7E6B481D3CE50E,2020-09-14T01:13:20.000Z,e5a92162-e061-4d33-a39c-c2b8ec9dbf83,1.07,,1.0,,"[{'ARNPrefix': 'arn:aws:s3:::mordors3stack-s3bucket-llp2yingx64a/', 'type': 'AWS::S3::Object'}, {'ARN': 'arn:aws:s3:::mordors3stack-s3bucket-llp2yingx64a', 'accountId': '123456789123', 'type': 'AWS::S3::Bucket'}]",Data,"{'bytesTransferredOut': 500.0, 'AuthenticationMethod': 'AuthHeader', 'CipherSuite': 'ECDHE-RSA-AES128-GCM-SHA256', 'SignatureVersion': 'SigV4', 'bytesTransferredIn': 0.0, 'x-amz-id-2': 'h1Kc1LiWPE5h1IyFt266/UoWnj+UL6n/3lgiFznt7VGYaNzGDHbpWHh/uosS3tCiyHa4j7DKo5k='}",0.0
